Date,Close,Open,High,Low,Volume,Market Cap
16-03-2021,4119249.68,4049325.35,4121218.25,3886201.79,4.33E+12,7.68E+13
17-03-2021,4272263.55,4120767.26,4263208.13,3954189.75,4.37E+12,7.96E+13
18-03-2021,4204622.12,4273873.5,4366282.59,3941986.46,4.05E+12,7.83E+13
19-03-2021,4226751.15,4204005.87,4311525.87,4116323.5,3.57E+12,7.91E+13
20-03-2021,4224359.81,4225708.66,4348789.49,4217090.6,3.65E+12,7.88E+13
21-03-2021,4165414.78,4224089.64,4257266.92,4057161.71,3.76E+12,7.78E+13
22-03-2021,3946860.46,4165014.37,4231253.41,3929445.12,4.09E+12,7.37E+13
23-03-2021,3974728.9,3945594.98,4061499.98,3868578.04,4.08E+12,7.39E+13
24-03-2021,3833831.4,3972662.65,4158823.6,3815234.22,5.12E+12,7.15E+13
25-03-2021,3754396.79,3830379.41,3876474.1,3694524.05,4.94E+12,7.01E+13
26-03-2021,3994554.69,3752860.89,3994554.69,3745370.49,4.11E+12,7.47E+13
27-03-2021,4055134.99,3994573.06,4098219.84,3929757.45,3.42E+12,7.57E+13
28-03-2021,4053488.63,4055238.62,4101269.58,3989758.55,3.45E+12,7.57E+13
29-03-2021,4200873.36,4053282.39,4226741.83,4002151.38,4.17E+12,7.81E+13
30-03-2021,4327242.19,4200868.48,4324318.53,4167998.93,3.96E+12,8.00E+13
31-03-2021,4313079.09,4328166.49,4399295.79,4242098.1,4.81E+12,8.08E+13
01-04-2021,4330986.57,4313645.06,4372515,4296275.73,4.51E+12,8.08E+13
02-04-2021,4357392.28,4331211.64,4416861.65,4314397.07,4.30E+12,8.13E+13
03-04-2021,4226751.61,4358353.15,4410660.08,4226751.61,4.38E+12,7.89E+13
04-04-2021,4311482.99,4226821.28,4322864,4194817.33,3.72E+12,8.05E+13
05-04-2021,4327746.55,4311653,4385289.03,4235814.91,4.45E+12,8.09E+13
06-04-2021,4276035.62,4336104.33,4357601.51,4236046.22,4.84E+12,7.96E+13
07-04-2021,4170133.45,4275605.74,4339996.48,4137815.12,5.56E+12,7.69E+13
08-04-2021,4347743.9,4173926.1,4348846.01,4157496.06,3.95E+12,8.10E+13
09-04-2021,4352631.72,4347938.46,4402753.73,4327570.62,3.48E+12,8.11E+13
10-04-2021,4468330.54,4353287.38,4579186.94,4337215.22,4.35E+12,8.35E+13
11-04-2021,4499101.37,4472290.87,4542859.96,4430708.64,3.46E+12,8.40E+13
12-04-2021,4491485.48,4496932.71,4587947.1,4473311.65,3.87E+12,8.36E+13
13-04-2021,4774301.23,4491227.96,4798035.09,4489723.52,5.25E+12,8.90E+13
14-04-2021,4734890.26,4775827.18,4874118.76,4619650.07,5.82E+12,8.86E+13
15-04-2021,4731307.69,4732301.87,4769128.7,4671973.85,4.57E+12,8.88E+13
16-04-2021,4591076.54,4727159.88,4750986.14,4480725.01,6.30E+12,8.60E+13
17-04-2021,4524215.54,4587880.11,4665594.19,4500174.21,4.93E+12,8.45E+13
18-04-2021,4191672.92,4525562.35,4552071.51,3938647.94,7.27E+12,7.83E+13
19-04-2021,4172547.08,4189838.6,4303363.47,4071117.52,4.87E+12,7.76E+13
20-04-2021,4260859.56,4169366.65,4305217.07,3994477.52,5.08E+12,7.90E+13
21-04-2021,4066144.79,4260715.87,4282363.36,4050096.4,4.14E+12,7.60E+13
22-04-2021,3886924.67,4062450.14,4179602.36,3798289.99,5.64E+12,7.30E+13
23-04-2021,3825294.77,3885237.72,3913857.67,3576298.57,6.51E+12,7.17E+13
24-04-2021,3747273.47,3829006.41,3830828.48,3654017.5,3.67E+12,7.00E+13
25-04-2021,3668868.12,3747420.47,3781350.3,3532815.84,3.45E+12,6.86E+13
26-04-2021,4041645.96,3674373.88,4058248.41,3657532.64,4.36E+12,7.56E+13
27-04-2021,4104108.48,4042285.55,4132692.39,3980517.22,3.70E+12,7.70E+13
28-04-2021,4074136.65,4104370.94,4180402.78,4011338.41,3.58E+12,7.64E+13
29-04-2021,3968757.55,4076617.68,4095771.81,3884173.39,3.42E+12,7.44E+13
30-04-2021,4279028.5,3969762.06,4290183.03,3937224.86,3.88E+12,8.00E+13
